,Unnamed: 0,Price,District,State,Bedrooms,Tenure,Furnished Type,Size,Bathrooms,Car Slots,House Type,Price per sqft,Price per Bedroom,Room Density,District_code,State_code,Tenure_code,Furnished Type_code,House Type_code,24-Hour Security,Air Conditioner,Badminton Court,Balcony,Basketball Court,Bath Tub,Bbq,Bus Stop,Business Centre,Cafe,Clubhouse,Garage,Garden,Gym,Jacuzzi,Jogging Track,Kitchen Cabinet,Nursery,Parking,Playground,Retail Stores,Salon,Sauna,Squash Court,Swimming Pool,Tennis Courts,Wading Pool
0,0,13.429849547739444,tebrau,johor,4.0,freehold,fully furnished,7.183870715062453,3.0,2.0,apartment,516.32,170000.0,0.0030372057706909,280,0,0,0,8,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0
1,1,12.292254928916668,perling,johor,3.0,freehold,unfurnished,6.621405651764134,2.0,1.0,apartment,290.67,72666.66666666667,0.004,187,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,12.460718739865236,jalan kuching,kuala lumpur,3.0,freehold,partly furnished,6.80903930604298,2.0,1.0,apartment,285.08,86000.0,0.0033149171270718,95,3,0,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0
3,3,12.577639650232573,petaling jaya,selangor,3.0,leasehold,partly furnished,6.654152520183219,2.0,1.0,apartment,374.19,96666.66666666669,0.0038709677419354,189,13,1,1,8,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0
4,4,12.765691290604371,johor bahru,johor,3.0,leasehold,unfurnished,6.983789965258135,2.0,2.0,apartment,324.68,116666.66666666669,0.0027829313543599,103,0,1,2,8,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0
5,5,12.608202196848836,gombak,kuala lumpur,3.0,freehold,unfurnished,6.85751406254539,2.0,2.0,apartment,314.74,99666.66666666669,0.0031578947368421,84,3,0,2,8,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1
6,6,12.388398368982115,masai,johor,3.0,freehold,partly furnished,6.670766320845874,2.0,1.0,apartment,304.57,80000.0,0.0038071065989847,159,0,0,1,8,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0
7,7,12.604852121186608,kota damansara,selangor,3.0,leasehold,unfurnished,6.647688373563329,2.0,1.0,apartment,387.01,99333.33333333331,0.0038961038961038,127,13,1,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,12.73670383776449,ulu kelang,selangor,3.0,leasehold,unfurnished,6.7464121285733745,2.0,1.0,apartment,400.0,113333.33333333331,0.0035294117647058,292,13,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,12.570719231334277,skudai,johor,3.0,freehold,unfurnished,7.030857476116121,2.0,1.0,apartment,254.87,96000.0,0.0026548672566371,244,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
