,Price,District,State,Bedrooms,Tenure,Furnished Type,Size,Facilities,Bathrooms,Car Slots,House Type,Price per sqft,Price per Bedroom,Room Density,District_code,State_code,Tenure_code,Furnished Type_code,House Type_code
0,680000,tebrau,johor,4.0,freehold,fully furnished,1317.0,"['Kitchen Cabinet', 'Air Conditioner', 'Balcony', 'Bbq', 'Parking', 'Jogging Track', 'Playground', 'Tennis Courts', 'Gym', 'Swimming Pool', '24-Hour Security']",3.0,2.0,apartment,516.32,170000.0,0.0030372057706909645,280,0,0,0,8
1,218000,perling,johor,3.0,freehold,unfurnished,750.0,[],2.0,1.0,apartment,290.67,72666.66666666667,0.004,187,0,0,2,8
2,258000,jalan kuching,kuala lumpur,3.0,freehold,partly furnished,905.0,"['Kitchen Cabinet', 'Air Conditioner', 'Parking', 'Playground', 'Gym', 'Retail Stores', '24-Hour Security']",2.0,1.0,apartment,285.08,86000.0,0.0033149171270718232,95,3,0,1,8
3,290000,petaling jaya,selangor,3.0,leasehold,partly furnished,775.0,"['Bbq', 'Jogging Track', 'Playground', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Nursery', 'Cafe', 'Badminton Court', 'Basketball Court']",2.0,1.0,apartment,374.19,96666.66666666667,0.003870967741935484,189,13,1,1,8
4,350000,johor bahru,johor,3.0,leasehold,unfurnished,1078.0,"['Balcony', 'Bbq', 'Jogging Track', 'Playground', 'Tennis Courts', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Nursery', 'Cafe']",2.0,2.0,apartment,324.68,116666.66666666667,0.0027829313543599257,103,0,1,2,8
5,299000,gombak,kuala lumpur,3.0,freehold,unfurnished,950.0,"['Air Conditioner', 'Balcony', 'Parking', 'Jogging Track', 'Playground', 'Squash Court', 'Retail Stores', 'Swimming Pool', 'Wading Pool', 'Badminton Court']",2.0,2.0,apartment,314.74,99666.66666666667,0.003157894736842105,84,3,0,2,8
6,240000,masai,johor,3.0,freehold,partly furnished,788.0,"['Air Conditioner', 'Kitchen Cabinet', 'Garage', 'Garden', 'Parking', 'Playground', 'Swimming Pool', '24-Hour Security']",2.0,1.0,apartment,304.57,80000.0,0.0038071065989847717,159,0,0,1,8
7,298000,kota damansara,selangor,3.0,leasehold,unfurnished,770.0,['Balcony'],2.0,1.0,apartment,387.01,99333.33333333333,0.003896103896103896,127,13,1,2,8
8,340000,ulu kelang,selangor,3.0,leasehold,unfurnished,850.0,[],2.0,1.0,apartment,400.0,113333.33333333333,0.0035294117647058825,292,13,1,2,8
9,288000,skudai,johor,3.0,freehold,unfurnished,1130.0,['Nursery'],2.0,1.0,apartment,254.87,96000.0,0.002654867256637168,244,0,0,2,8
10,337000,cheras,kuala lumpur,4.0,freehold,unfurnished,1229.0,[],2.0,2.0,apartment,274.21,84250.0,0.0032546786004882017,67,3,0,2,8
11,647800,melaka city,melaka,3.0,leasehold,unfurnished,1195.0,"['Air Conditioner', 'Balcony', 'Garden', 'Bbq', 'Parking', 'Jogging Track', 'Playground', 'Gym', 'Swimming Pool', '24-Hour Security', 'Clubhouse', 'Basketball Court']",3.0,2.0,apartment,542.09,215933.33333333334,0.002510460251046025,161,4,1,2,8
12,310000,shah alam,selangor,3.0,leasehold,unfurnished,870.0,"['Parking', 'Jogging Track', 'Playground', 'Retail Stores', '24-Hour Security', 'Badminton Court']",2.0,2.0,apartment,356.32,103333.33333333333,0.0034482758620689655,237,13,1,2,8
13,308000,klang,selangor,3.0,freehold,unfurnished,1000.0,"['Bbq', 'Parking', 'Jogging Track', 'Playground']",2.0,2.0,apartment,308.0,102666.66666666667,0.003,123,13,0,2,8
14,350000,subang jaya,selangor,3.0,freehold,unfurnished,860.0,"['Parking', '24-Hour Security']",2.0,2.0,apartment,406.98,116666.66666666667,0.0034883720930232558,249,13,0,2,8
15,330000,shah alam,selangor,3.0,leasehold,unfurnished,870.0,"['Kitchen Cabinet', 'Balcony', 'Garage', 'Air Conditioner', 'Bbq', 'Parking', 'Jogging Track', 'Playground', 'Swimming Pool', '24-Hour Security', 'Clubhouse', 'Badminton Court', 'Basketball Court']",2.0,2.0,apartment,379.31,110000.0,0.0034482758620689655,237,13,1,2,8
17,278000,rawang,selangor,3.0,freehold,partly furnished,898.0,[],2.0,1.0,apartment,309.58,92666.66666666667,0.0033407572383073497,204,13,0,1,8
18,980000,shah alam,selangor,3.0,freehold,fully furnished,1091.0,"['Kitchen Cabinet', 'Air Conditioner', 'Balcony', 'Bbq', 'Jogging Track', 'Playground', 'Gym', 'Swimming Pool', '24-Hour Security', 'Wading Pool']",2.0,2.0,apartment,898.26,326666.6666666667,0.002749770852428964,237,13,0,0,8
19,200000,seri kembangan,selangor,3.0,freehold,unfurnished,750.0,['Kitchen Cabinet'],1.0,1.0,apartment,266.67,66666.66666666667,0.004,232,13,0,2,8
20,298000,kota damansara,selangor,3.0,leasehold,unfurnished,770.0,['Balcony'],2.0,1.0,apartment,387.01,99333.33333333333,0.003896103896103896,127,13,1,2,8
21,340000,ulu kelang,selangor,3.0,leasehold,unfurnished,850.0,[],2.0,1.0,apartment,400.0,113333.33333333333,0.0035294117647058825,292,13,1,2,8
22,305000,tebrau,johor,3.0,freehold,unfurnished,810.0,"['Parking', 'Playground', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security']",2.0,1.0,apartment,376.54,101666.66666666667,0.003703703703703704,280,0,0,2,8
23,328000,kajang,selangor,3.0,freehold,fully furnished,1055.0,"['Kitchen Cabinet', 'Air Conditioner', 'Balcony', 'Parking', '24-Hour Security']",2.0,2.0,apartment,310.9,109333.33333333333,0.002843601895734597,105,13,0,0,8
24,640000,bayan lepas,penang,3.0,freehold,unfurnished,1000.0,"['Bbq', 'Parking', 'Squash Court', 'Tennis Courts', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Sauna']",2.0,1.0,apartment,640.0,213333.33333333334,0.003,39,7,0,2,8
25,460000,butterworth,penang,3.0,freehold,unfurnished,1330.0,"['Kitchen Cabinet', 'Balcony', 'Bbq', 'Parking', 'Swimming Pool', '24-Hour Security']",2.0,1.0,apartment,345.86,153333.33333333334,0.002255639097744361,63,7,0,2,8
26,290000,butterworth,penang,3.0,leasehold,unfurnished,994.0,"['Kitchen Cabinet', 'Balcony', 'Parking', '24-Hour Security']",2.0,1.0,apartment,291.75,96666.66666666667,0.0030181086519114686,63,7,1,2,8
27,268000,puchong,selangor,3.0,freehold,partly furnished,883.0,"['Bbq', 'Playground', 'Tennis Courts', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Nursery', 'Badminton Court']",2.0,1.0,apartment,303.51,89333.33333333333,0.0033975084937712344,197,13,0,1,8
28,170000,sunway,selangor,3.0,leasehold,partly furnished,852.0,"['Balcony', 'Kitchen Cabinet', 'Parking', 'Jogging Track', 'Playground', 'Business Centre', 'Retail Stores', 'Salon', '24-Hour Security', 'Sauna', 'Cafe']",2.0,1.0,apartment,199.53,56666.666666666664,0.0035211267605633804,263,13,1,1,8
