Title,Price,District,State,Bedrooms,Location,Tenure,Furnished Type,Size,Facilities,Bathrooms,Car Slots,House Type,Price per sqft,Images
"Johor Jaya, Johor Bahru",718000,Johor Bahru, Johor,4,"Jalan Bakawali, Johor Jaya, Ehsan Jaya, Desa Jaya, Plentong, Permas Jaya, Taman Molek, Desa Tebrau, Taman Gaya, Mount Austin, Setia Indah, Taman Daya, Desa Cemerlang, Johor Jaya, Johor",Freehold,Unfurnished,3300,[],3,,2-sty Terrace/Link House,217.58,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ym4fda9be0d1-d36b-446b-b099-625d89de84fa_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-9h8ga440d153-1b6f-4a28-a6b4-87bd45fe0f09_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-xjs755750e29-8d85-449d-a752-a4d72661f2e9_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-nx4e86439341-0a13-4737-a105-1f6aa98125d3_1238x928.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-iwhdd6997c0b-915c-4b3a-9985-6ffa51161070_1238x928.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-mcex08f00b30-2236-46fb-802f-e5b5f2bf972c_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-60823e971b98-cb11-40dc-aa1a-df06d19b3e1a_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-vx2v19c156f8-7633-4dc0-81f8-d26dc5c17d9a_960x1280.jpeg'}"
"Damansara Utama (Ss 21), Petaling Jaya",1390000,Petaling Jaya, Selangor,5,"Damansara Utama (Ss 21), 47400, Selangor",Freehold,Unfurnished,2300,[],3,2.0,2-sty Terrace/Link House,604.35,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hwdp7eb718ac-c4b3-4096-8220-5bea5980392e_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-5brj5177bec5-06b5-41a7-ba58-7df83da1d4d9_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ryg66e56a62e-7ed9-4663-a266-3654f8e553fd_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-dd03f7ff2719-e305-4503-b472-0439df614be6_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ydvz947456b7-de62-4947-91dc-a471f5cc7b37_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-50ny5703a008-3408-4f72-b270-c6dbcdfb6f96_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-bqr92585b2a2-afef-4346-a06c-53a7b5dbdf3b_1280x720.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-5yy970e1a8f3-a2ed-419d-8615-f9e0e6c254f5_980x1020.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-yh7g874d2f85-e572-44ad-a310-d58fd0ccae9b_1280x720.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-w52v84230f6c-1487-4f1f-a761-71210124cc4d_1280x720.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ummsbce37b8b-ed1c-452c-8fba-9be73d5fb048_866x1154.png'}"
"Damansara Utama (Ss 21), Petaling Jaya",1050000,Petaling Jaya, Selangor,4,"Damansara Utama (Ss 21), 47400, Selangor",Freehold,Unfurnished,2300,"['Kitchen Cabinet', 'Balcony', 'Garage', 'Air Conditioner']",3,2.0,2-sty Terrace/Link House,456.52,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-nztp423538bd-ec4a-4567-bbac-589774e3b34e_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-3bt52a34df3e-24fb-4f2d-a830-a9bd67ccf68e_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4hea5954db63-3f14-4b86-81d9-afde12de1c44_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-caqb11b27bda-9bda-44de-b116-68350580f54b_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-seut890dcc55-b766-4ea1-9754-eb809676a339_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zsg16c778274-cec9-48bf-b37d-c0ff00da4952_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ln8p7514fa7e-19bd-421f-a6bc-d7105608413e_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-8eyxe02a3d89-3572-415e-8654-868c11c8a859_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-t9ji936416d0-7602-45d3-b9a4-45112460f3b1_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-21f65ac0c9fd-f9f7-4e48-b05a-eb5acd4faa92_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-baxeb766aa7f-b70d-4157-a912-f5330f283228_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ciwt3167bf77-470d-49ed-a7ca-db17086b7fbf_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-gazxc9d32df6-7008-4ea1-9bbe-cf724b2d043c_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ofwda296e527-2d67-4d44-9708-ba16bcb7b426_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-iuf5a0553a30-7044-454f-82c5-0c228a06042c_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-7qju21622aad-a5c5-49a7-96ae-f796a3266308_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-w5mra870a63d-4774-4074-abdc-353664472ba2_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tqkqff378d66-9458-42f1-8aa5-04a9194ea3db_1153x865.png'}"
"Bandar Puteri, Klang",900000,Klang, Selangor,4,"Bandar Bukit Tinggi , Bandar botanic , ambang Botanic , ksl , parkland , Bandar Bestari , Bandar Puteri , Bandar Putera , taman gembira , Klang , Kota Bayuemas , Canary garden, taman sentosa , bayu , bayu perdana , port Klang , taman sri andalas, Bandar Puteri, 41200, Selangor",Freehold,Unfurnished,1800,[],4,,2-sty Terrace/Link House,500.0,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-j17y7b218c3e-8c3e-45db-b05d-3946d3eb3a2e_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-1ftl4b696502-b8dd-424b-8ff5-c0676f20774c_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-if9zd7c06b62-ac4d-44ae-b43a-a15d4f246f7c_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-98x58e714943-dbfa-44db-8b83-6b73413d887d_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-0vly1a603bd1-183f-46c0-a3c2-fbbf41b39ba0_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-afcy8ab44288-82b7-4d70-af8b-4a8a559b4595_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ghcp854b3f01-0957-479b-b217-3d728c4ceac3_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-10qm85fa5b72-bd9a-4b93-8db0-b15478f293d8_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-drw81926f62e-e2de-4772-b53c-613f8b15952e_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-te4d1326b369-d8c3-4e63-9bd6-e1bfa225e9e1_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-fp9ob6d761d6-3848-45ce-875a-7c0a844c2419_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-jwpy18b55ec2-d5b4-4916-82f8-c36c8589b63e_960x1280.jpeg'}"
"Damansara Utama (Ss 21), Petaling Jaya",1090000,Petaling Jaya, Selangor,4,"Jalan ss 21/23, Damansara Utama (Ss 21), 47400, Selangor",Freehold,Unfurnished,2300,"['Kitchen Cabinet', 'Garage', 'Balcony', 'Air Conditioner']",3,2.0,2-sty Terrace/Link House,473.91,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4frk0591260a-0fc5-487e-85b6-5812d9091ee3_750x1000.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-289v347f42b1-a71d-4789-87e4-8f9d6733dbf0_750x1000.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-u16t4a81a0e7-38ce-49f6-a0cd-cfecc8260510_1000x750.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-bj5cdb23471f-ce94-4f4a-a309-816282640cc3_1000x750.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-eudb95508ef7-babe-468d-ab4f-98b76ae0b348_750x1000.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-0zzmee05a011-3178-44d8-9297-017c189b0332_750x1000.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-822f072c608a-3aa6-4827-bf4f-8293919e38ec_1000x750.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-5lypdfe244d1-f647-45cc-8b7e-3731683d4542_1000x750.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6jxm19eb4031-5062-43ec-ab35-e5c96c3221c6_1000x750.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-77x7375508b5-a554-4e67-9528-7bc6ce646158_750x1000.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-1pv3c9b7e5fb-aff8-4b16-b4b5-ab819d130431_750x1000.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-uqpg31bba82d-99f3-43f8-a55c-1339dad341e3_750x1000.png'}"
"Usj 6, Subang Jaya",1100000,Subang Jaya, Selangor,4,"Usj 6, 47610, Selangor",Freehold,Unfurnished,1500,[],3,,2-sty Terrace/Link House,733.33,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-3fqde8441544-c7e1-4066-8e8e-b96c02fd5196_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ba5v3aab87be-b515-4522-86a4-05a9296c8095_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-9f9ec8286ace-fbd2-46ed-85dc-dd8381554ae4_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-98xxea5e33de-ba4e-4941-95b9-4ee1ebbf6026_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-c2pv415f278f-d395-4f02-bf66-43c84777975d_1080x810.jpeg'}"
"Kinrara Residence, Puchong",1245000,Puchong, Selangor,6,"Kinrara Residence, 47180, Selangor",Leasehold,Unfurnished,2488,[],3,,2-sty Terrace/Link House,500.4,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ciby9d1d0384-e344-4125-bc7a-d7757a5a73e2_400x225.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-j4nd8108ead2-acb1-4fb6-a6f6-e31c8b210ab0_600x337.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-em6004aebe9b-cb4c-4a2b-b82f-dc993d09d1f0_600x450.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-awamd7daedaf-8793-4a55-bd8e-fee7b2193f7c_600x337.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-c9kcf8e25857-1bc9-49ee-9402-92e16d335624_600x450.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-m90l9ba1147e-2938-4ba6-a024-06323f45da87_400x225.jpeg'}"
"Taman Seri Austin, Tebrau",728000,Tebrau, Johor,5,"Seri Austin East Zone, Jalan Seri Austin 6, Taman Seri Austin, Taman Seri Austin, 81100, Johor",Freehold,Unfurnished,1400,[],4,,2-sty Terrace/Link House,520.0,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-g5o4dd1635a9-0800-4a9e-85c0-9c355ac936a4_1080x809.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-fgtr3745b9dc-2841-46db-a385-55b6c662f5cc_1080x809.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-qh0o5270e200-3019-4eac-a1e2-c0a06d2d2bd5_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-3ij663579287-4a7f-4fa5-a508-8e04160603dc_959x720.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-xtuc32ba2b51-d21d-427e-b293-a83761cfde9d_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-w674715c3f94-34f8-4ed8-8f6c-78fd4aeb423f_1080x809.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tit2de804f3b-6a23-41d8-8cce-dd8b55b4fefd_1080x809.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6g7k9b4035d0-dea6-426e-942b-6174f571fcfc_1080x810.jpeg'}"
"Taman Ekoflora, Johor Bahru",938000,Johor Bahru, Johor,4,"Eco Summer, Jalan Ekoflora 5, Taman Ekoflora, Taman Ekoflora, 81100, Johor",Freehold,Unfurnished,1600,"['Kitchen Cabinet', 'Balcony', 'Garage', 'Garden']",3,,2-sty Terrace/Link House,586.25,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-c548d483d508-e27f-4886-a278-4f9ec43e54c0_750x562.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-622151ad6e1e-e959-4ee8-ba6e-6006595a281c_962x721.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-t9aqbc28b9bb-f79d-422c-9d84-60eee68b6c98_739x554.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ylw01a3d16eb-fbd5-40d5-8362-6acc8612ac3f_941x706.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-pflo5e2b3125-9138-48b6-a53b-52e42e41f98e_978x733.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-1gsz35b1ab24-c7af-4ea5-99d9-8bd26da951e8_708x945.jpeg'}"
Telok Panglima Garang,760000,Telok Panglima Garang, Selangor,5,"24 x 75 Chimes Bandar Rimbayu, Chimes Rimbayu, Jalan Flora 3E/1, Chimes Bandar Rimbayu, 42500, Selangor",Leasehold,Unfurnished,2322,"['Kitchen Cabinet', 'Air Conditioner']",4,,2-sty Terrace/Link House,327.3,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-atwz8e8d8ad3-640e-4d72-bd27-e6c2ef9c70d5_4000x3000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-n08rd72b0358-0408-4ee8-b404-7f5ce89b7118_4000x3000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-vec4b0cf2e3a-385f-4e99-b5dc-6feb97a094b5_4000x3000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-yolnde0ad524-c477-42f1-8498-3953dc74c4f6_4000x3000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-fi9o797e2833-26e9-468f-b182-3176923558fb_4000x3000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-lydb3c89c209-6b89-4802-8890-b240bef88b26_4000x3000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-yp99e3e12540-7332-4113-ab9d-285b3cd5c3cf_4000x3000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-u82l45a70531-f0f5-492e-890c-45adf62b36c8_4000x3000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-fbq1167f8248-8994-41af-be77-70be3a150e6e_4000x3000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hdljfa1f1145-1170-439c-aceb-50e0c88e8546_3924x2943.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-c2qfef431788-3bbb-4bb2-ba33-019a37f8119c_4000x3000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-t5e2249de4b2-489e-48a0-85e3-85eae57b25a5_4000x3000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-71s0a9bf189c-373f-4759-a26b-dac87c16bb34_4000x3000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-u3gka66a4dd3-1027-4fd9-8011-b7c90ea0ebe5_4000x3000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-29n35d404830-ae82-47d5-bd92-465af9fc6bd4_4000x3000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hvaqe7201c4d-7ca6-4f70-b1e1-cf6724fcf941_4000x3000.jpeg'}"
