Title,Price,District,State,Bedrooms,Size,Bathrooms,Car Slots,House Type,Price per sqft
"Puncak Saujana, Taman Puncak Saujana, Kajang",328000,Kajang, Selangor,3,1055,2,2.0,Apartment,310.9
"Lavinia Apartments, Sungai Nibong, Bayan Lepas",640000,Bayan Lepas, Penang,3,1000,2,1.0,Apartment,640.0
"Telaga Emas, Kampung Benggali, Butterworth",460000,Butterworth, Penang,3,1330,2,1.0,Apartment,345.86
"Vista Perdana Apartment, Taman Bagan Jermal, Butterworth",290000,Butterworth, Penang,3,994,2,1.0,Apartment,291.75
"Kenanga Apartments, Pusat Bandar Puchong, Puchong",268000,Puchong, Selangor,3,883,2,1.0,Apartment,303.51
"Pangsapuri Lagoon Perdana, Bandar Sunway, Sunway",170000,Sunway, Selangor,3,852,2,1.0,Apartment,199.53
"Desa Sri Puteri B, Desa Petaling",238000,Desa Petaling, Kuala Lumpur,3,830,2,1.0,Apartment,286.75
"Pangsapuri Kasuarina, Bandar Botanic, Klang",340000,Klang, Selangor,3,900,2,1.0,Apartment,377.78
"Villamas Apartment, BANDAR PUCHONG JAYA, Puchong",368000,Puchong, Selangor,3,1074,2,1.0,Apartment,342.64
"168 Park, Prima Selayang, Selayang",508000,Selayang, Selangor,3,855,2,1.0,Apartment,594.15
"Arcadia, Usj 11, Subang Jaya",345000,Subang Jaya, Selangor,4,983,2,1.0,Apartment,350.97
"Pangsapuri Bukit Beruang Utama, Batu Berendam",190000,Batu Berendam, Melaka,3,893,3,2.0,Apartment,212.77
"Plaza Metro Prima, Metro Prima, Kepong",310000,Kepong, Kuala Lumpur,3,1010,2,,Apartment,306.93
"Mentari Court, Petaling Jaya",400000,Petaling Jaya, Selangor,4,1689,3,2.0,Apartment,236.83
"Green Suria @ Bandar Tun Hussein Onn, Cheras",290000,Cheras, Selangor,3,1055,2,2.0,Apartment,274.88
"Arena Green, Bukit Jalil",280000,Bukit Jalil, Kuala Lumpur,3,807,2,1.0,Apartment,346.96
"Pangsapuri Putra Raya, Taman Pinggiran Putra, Seri Kembangan",115000,Seri Kembangan, Selangor,3,683,2,,Apartment,168.37
"Damai Vista Apartment, Taman Continental, Jelutong",345000,Jelutong, Penang,3,700,2,1.0,Apartment,492.86
"Pangsapuri Saraka, Taman Wawasan, Puchong",300000,Puchong, Selangor,3,915,2,1.0,Apartment,327.87
"Vista Idaman, Bandar Sunway Semenyih, Semenyih",275000,Semenyih, Selangor,3,1000,2,2.0,Apartment,275.0
"Puncak Saujana, Taman Puncak Saujana, Kajang",328000,Kajang, Selangor,3,1055,2,2.0,Apartment,310.9
"Lavinia Apartments, Sungai Nibong, Bayan Lepas",640000,Bayan Lepas, Penang,3,1000,2,1.0,Apartment,640.0
"Telaga Emas, Kampung Benggali, Butterworth",460000,Butterworth, Penang,3,1330,2,1.0,Apartment,345.86
"Vista Perdana Apartment, Taman Bagan Jermal, Butterworth",290000,Butterworth, Penang,3,994,2,1.0,Apartment,291.75
"Kenanga Apartments, Pusat Bandar Puchong, Puchong",268000,Puchong, Selangor,3,883,2,1.0,Apartment,303.51
"Pangsapuri Lagoon Perdana, Bandar Sunway, Sunway",170000,Sunway, Selangor,3,852,2,1.0,Apartment,199.53
"Desa Sri Puteri B, Desa Petaling",238000,Desa Petaling, Kuala Lumpur,3,830,2,1.0,Apartment,286.75
"Pangsapuri Kasuarina, Bandar Botanic, Klang",340000,Klang, Selangor,3,900,2,1.0,Apartment,377.78
"Villamas Apartment, BANDAR PUCHONG JAYA, Puchong",368000,Puchong, Selangor,3,1074,2,1.0,Apartment,342.64
"168 Park, Prima Selayang, Selayang",508000,Selayang, Selangor,3,855,2,1.0,Apartment,594.15
"Arcadia, Usj 11, Subang Jaya",345000,Subang Jaya, Selangor,4,983,2,1.0,Apartment,350.97
"Pangsapuri Bukit Beruang Utama, Batu Berendam",190000,Batu Berendam, Melaka,3,893,3,2.0,Apartment,212.77
"Plaza Metro Prima, Metro Prima, Kepong",310000,Kepong, Kuala Lumpur,3,1010,2,,Apartment,306.93
"Mentari Court, Petaling Jaya",400000,Petaling Jaya, Selangor,4,1689,3,2.0,Apartment,236.83
"Green Suria @ Bandar Tun Hussein Onn, Cheras",290000,Cheras, Selangor,3,1055,2,2.0,Apartment,274.88
"Arena Green, Bukit Jalil",280000,Bukit Jalil, Kuala Lumpur,3,807,2,1.0,Apartment,346.96
"Pangsapuri Putra Raya, Taman Pinggiran Putra, Seri Kembangan",115000,Seri Kembangan, Selangor,3,683,2,,Apartment,168.37
"Damai Vista Apartment, Taman Continental, Jelutong",345000,Jelutong, Penang,3,700,2,1.0,Apartment,492.86
"Pangsapuri Saraka, Taman Wawasan, Puchong",300000,Puchong, Selangor,3,915,2,1.0,Apartment,327.87
"Vista Idaman, Bandar Sunway Semenyih, Semenyih",275000,Semenyih, Selangor,3,1000,2,2.0,Apartment,275.0
