Title,Price,District,State,Bedrooms,Location,Tenure,Furnished Type,Size,Facilities,Bathrooms,Car Slots,House Type,Price per sqft,Images
"Bandar Saujana Putra, Tanjong Duabelas",555000,Tanjong Duabelas, Selangor,4,"Bandar Saujana Putra, 42610, Selangor",Leasehold,Unfurnished,1500,"['Kitchen Cabinet', 'Air Conditioner', 'Balcony', 'Garage']",3,2.0,Cluster House,370.0,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tjss15102bc1-b425-4a34-aaf7-7d1de3f10f6a_750x1000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-o0q39eebc5c9-e88e-4c36-8b2b-b3fb898f0f85_750x1000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-jea7edf8d1c4-ca57-44ba-a25c-e7f5711971e8_750x1000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-312y7cccafc3-5463-45d5-b236-d2c45d221770_3648x2736.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4n38e2131a5e-3080-4a80-a7c8-2925923c160b_750x1000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-942c887eef34-2da7-4d5d-81e6-c38b423ab489_750x1000.jpeg'}"
"Retusa Elemri Setia Utama1 Setia Alam, Setia Alam",1499000,Setia Alam, Selangor,5,"Jalan Setia Utama U13/37, Retusa Elemri Setia Utama1 Setia Alam, 40170, Selangor",Freehold,Unfurnished,3400,"['Kitchen Cabinet', 'Air Conditioner', 'Parking', 'Jogging Track', 'Playground', '24-Hour Security']",5,,Cluster House,440.88,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-lfibd8a2be8f-97b9-47d9-8d4f-cac8bb94b553_720x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ob358d882f06-2990-4045-90e7-98c718dd5e61_720x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-psq7ebf1b934-41b1-4bcb-b32f-fa658510fd1e_1280x720.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4vd75ecbe596-f4f2-4c46-afc4-3baaaf44ed3c_720x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-txfcbe2d66ac-62a9-44ef-9cc8-120b305a4fca_1280x720.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-g8n31129489a-77e3-47e8-80b3-d99ae728a89d_720x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-m2ewdf29cae2-5551-4942-b5a0-dd7b2199f331_1280x720.jpeg'}"
"Horizon Hills Bukit Indah Iskandar Puteri Skudai, Johor Bahru",1680000,Johor Bahru, Johor,4,"jalan Hijauan (The Green) bukit indah, nusa bestari eco botanic , iskandar puteri (nusajaya) , nusa sentral, nusa idaman, mutiara rini, gelang patah, ledang hight, sunway iskandar sutera utama,perling, setia tropika, johor bahru, nusa duta, Horizon, Horizon Hills Bukit Indah Iskandar Puteri Skudai, 79100, Johor",Freehold,Unfurnished,2800,[],5,,Cluster House,600.0,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-psvqd557d07f-4053-4424-8ece-3ded86917f62_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-lk6hd6e7b104-e806-45d3-aaa5-534aaf4c142e_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-0nh7bd5fa8c6-23c8-499d-8031-fb66cda425a8_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-vaida492ecd9-6b02-44ca-8c1a-2af19bc8648b_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-roekeb79c56c-6196-46b0-9f21-ee6381900635_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-wy2h3024fcb3-cb0c-4b5d-b7a3-526c925904db_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-evw1ac7a7d6c-681c-46a8-8d99-e394631c0860_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-fylr1d2871fb-cc83-4170-acaf-b7fb18879ed6_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-aqmd4891aba7-5388-44d8-bc9d-3cf066aa5ed0_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ddynf3546a8c-d4f0-4da1-bdf9-9ec233dbf7f2_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-w50w0278a2e0-2c68-4385-b409-408a10947eec_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tcoa3c847502-f534-47c1-bcfe-c050113f9953_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-mcg75a9bc6e0-960b-4313-83ed-575fb9467643_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-jg6052e28204-8523-445c-aaf3-b1ef80ac6ebc_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ue3v25038ea4-37ca-43ba-a717-63c674bd09a3_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zjboaabee01f-7367-42d6-b569-3e2390aca311_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-91tx8d575b04-ad0a-49c4-b2d1-50418be2b6ff_1080x810.jpeg'}"
"Adda heights, Johor Bahru",1150000,Johor Bahru, Johor,5,"Jalan adda 6, Adda heights, 81100, Johor",Freehold,Unfurnished,2882,[],5,,Cluster House,399.03,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-wnr52a817b4c-8b2e-4744-bad7-8601a70adaf3_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-97xi9a4c3e0e-641e-45ad-86ad-b0194d11d9b4_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-j2235b4e5fe5-1c3a-43d9-9207-a6316a02f3b6_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-uojt07580029-35aa-47ff-8b4c-8682ad67e8ca_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ngqk121defce-4df4-43df-8b34-38c4a59d26ac_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-5rkh6d776904-b224-444b-8709-3be8772a8459_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-7y1j0362f06f-f5a2-41bb-8dfa-b2f5ee45a548_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-0aqpb26afe35-a5f4-4c62-b38b-45ae3357488e_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-dnzc6ad9b2fe-94fa-480c-ae30-bc8568735ee8_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-i5wpbfa7305f-8b61-40b5-9450-9bfe2a377722_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6b7r646b0c68-da4b-45bc-b084-cae122d9ba58_1154x865.jpeg'}"
"Eco Spring, Taman Ekoflora, Johor Bahru",1550000,Johor Bahru, Johor,5,"Jalan Ekoflora, Eco Spring, Taman Ekoflora, 81100, Johor",Freehold,Unfurnished,3237,"['Balcony', 'Air Conditioner', '24-Hour Security', 'Clubhouse']",4,,Cluster House,478.84,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-wzwqf0719ea0-dc46-4c8e-a35a-44c2ea7c597a_1080x811.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-s3hg29b4ddcb-07b2-4637-8fc4-9ea94975d389_1080x811.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-y2nff07857b2-11f9-4b24-9824-2ecd63a0895f_1080x811.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-v06g34adf0f9-85d2-48e1-bc78-170426772ea8_1080x811.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-mio2167f5d6b-95b0-4f32-8b45-88a2d16891dc_1080x811.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-er987eae6a8d-3938-4012-a06c-d78e25223a40_1080x811.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2e5d3839a454-367f-4d9a-a615-da9722bab343_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-gskt0594869c-e180-4b01-9e5c-6a7858c02a49_1080x811.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-t21af7a3e511-9f26-464f-88e3-7113c45d0290_811x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-26w7a5b572b5-6126-4d39-972f-e4ff9e45b72c_1080x811.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-abxe0294444a-60db-4539-ad09-43a02d4cc696_1080x811.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tq5ra9e905b9-503e-4b0f-9a69-8e997a9ad2f8_1080x811.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-03pof4a645ca-8f70-459f-8e5b-63068b631e2c_1080x811.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-aecz4bae315e-ecf6-4239-8107-31a22dd86f9f_1080x811.jpeg'}"
Johor Bahru,1050000,Johor Bahru, Johor,4,"Eco Spring, Eco Spring, Jalan Ekoflora 1,Taman Ekoflora, 81100, Johor",Freehold,Unfurnished,1800,"['Bbq', 'Parking', '24-Hour Security', 'Clubhouse']",3,,Cluster House,583.33,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-3mmm88ee581a-8398-48e2-859c-3a72acbf225c_1080x608.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-wjcy558e4772-07ee-42f4-aa26-b7e985803b0a_1080x608.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-x8cq08da327a-a665-47cb-af80-5ddf31ca33cc_1080x608.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-dxqsc09c94f9-9862-4aca-8b8b-971ae766e80e_1024x576.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ke9w0e3f10cc-d20b-4613-a23e-421072f85568_608x1080.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zqop07b7c83b-2247-482b-a215-1a41379e0e9d_1080x608.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-rn9462f7401c-afe2-4992-812e-084e7fe8f3ab_608x1080.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ah047fadc280-58c8-431e-8f19-3f6c5a0cc537_608x1080.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ua6p3ccf48e9-d830-4d5a-bd03-80a3615b1218_1080x608.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hbxw4b9e26ce-bb8c-4da3-8beb-4de142637a83_1080x608.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6su9a7929f7a-4eb5-4b2c-bb8f-6ac99a403e9b_1080x608.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-na6z672d481f-4948-4477-b932-729c3bf22bc1_1080x608.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-e27pf72cb88a-bad7-4674-80a3-7ec2ab0f99ba_1080x608.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-qhgp04dcdb3b-3395-405e-b5d4-9bc880921542_608x1080.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-8s2ge3eacdb4-1faa-420b-b226-74380810da31_608x1080.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-vvnjcb25c1c9-2586-4ab6-a77b-5338318ad6b5_1080x608.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-d826affa88eb-e322-41d7-b891-053b943b717d_1080x608.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zzzr98eaa7dd-1969-4f0b-8543-1b2526ba8786_1080x608.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-5ywn6056d2ec-dfa2-4a31-b86b-c44e8a35ed8d_1080x608.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-0yep171e24a0-1a1c-4f34-aa79-e4ccd3583538_1080x608.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hs986c3e9b5b-0c7c-4e8f-963a-e7f306b53b8d_1080x608.png'}"
"Eco Botanic, Iskandar Puteri (Nusajaya)",1680000,Iskandar Puteri (Nusajaya), Johor,5,"Eco Botanic, 79100, Johor",Freehold,Unfurnished,2450,['Kitchen Cabinet'],4,,Cluster House,685.71,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-or2ka849478a-e371-43b6-b941-b01b74c892bb_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-71ol45295d69-e99a-403f-9ce0-f48088a89846_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-lkry3e302e03-161a-4b95-889f-741427e4308c_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-t1hr6bce58d4-280a-497f-893e-dd7353cd2756_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-wskh5d39f2ae-285e-4216-83f7-fe877f91d9d8_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-kef5fc3b9cb4-d891-4037-8fde-942feb755aa4_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-txnpb1e1f0fb-19b6-4ad0-8c2d-c9dc6e2eee10_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-06z28e3aa711-0f61-4bb9-94f2-2b9b297c84ed_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-bphmfcc0f9e4-d0b9-438e-be3f-37177e28c685_810x1080.jpeg'}"
"Eco Botanic, Iskandar Puteri (Nusajaya)",1500000,Iskandar Puteri (Nusajaya), Johor,5,"Eco Botanic. Jalan Eko Botanik, nusajaya.Iskandar Puteri, Johor Bahru. Eko Botani. Horizon Hills. Bukit Indah, Eco Botanic, 79100, Johor",Freehold,Unfurnished,2670,"['Air Conditioner', 'Kitchen Cabinet']",5,2.0,Cluster House,561.8,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-lz5d5e4598f1-1288-4076-b829-09ce2e7309b4_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-vt496145d882-897d-44fe-a6eb-2ed6c07c0f78_1200x1600.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2nhud82c0f08-f72b-4f2c-b80a-9a03f4a9a4b6_1200x1600.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-frvbe43fd30f-3a21-4c0c-81d1-a47f8889c546_1200x1600.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-eu4wc0be32e4-34de-4554-a1f9-505b3525fed2_1200x1600.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-okvj038f2627-0388-4cfd-9ca0-c4404403a1d3_1200x1600.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-w394b2fd7c56-465c-4101-bcdd-73b338fa8067_1200x1600.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-cocv6ae09483-f1a7-49d0-b2d4-65fe879c8d88_1200x1600.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-m06p87bb5e23-8a8a-44aa-b6b7-f1d8b5655fff_1200x1600.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-jfh1b6e6e82e-aee8-4d6f-a786-54bd471085dc_1200x1600.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2dye13423e22-78c7-4b56-b7ec-24e68b1edf24_1200x1600.jpeg'}"
Subang Jaya,1180000,Subang Jaya, Selangor,6,"USJ 1, Jalan USJ 1/2, Selangor",Leasehold,Unfurnished,2800,"['Kitchen Cabinet', 'Air Conditioner', 'Balcony', 'Garage', 'Garden', 'Parking', '24-Hour Security']",4,,Cluster House,421.43,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tljz1e205910-84b7-421e-a199-300f02deadce_1080x681.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tv4s0beb1409-b2ef-4dd6-8e48-cb57dce566f1_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-3k97ae5b023e-ec62-4dfb-a19d-55ac4465171e_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hnpd4c06daec-a242-4101-baa3-37b47b617da8_1080x774.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tt4l389d2baa-1b92-4f85-a570-78a503b73ea5_1080x535.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-8kms101b33d1-e789-4553-8b76-efae07a97dde_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zk1293e2ffaf-8583-46cf-96f9-22218a69db3d_1280x956.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-9knk4134eecb-00a4-4a23-8a4b-f98b609d0412_1080x808.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-slbo08b1601b-300c-44a1-ac22-aa9a6480a790_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-jfujd1bf3e13-71c6-4dca-a25a-65694ef1d97a_1080x803.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-st7ne7026caa-4d85-4dad-955c-f97d7ff816a5_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2h24c9e71009-213b-4aaa-adba-d5d4d14ae88e_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-b4i6e0398d7b-528e-47a9-a178-2cba7c4c00b9_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ufl5ed4001b4-1cec-4ee6-967f-d121c1f242f7_1080x824.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-5zvm860dc0de-07eb-4692-a478-d2fe8e0d9bc0_1080x817.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-veava38e88d2-44c3-4aeb-aa75-713cfd5dad0e_1080x793.jpeg'}"
Taman Desa,5200000,Taman Desa, Kuala Lumpur,5,Kuala Lumpur,Freehold,Unfurnished,5800,[],6,5.0,Cluster House,896.55,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-22l49faa681f-6daf-489c-ae55-bb57c1919723_477x336.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2fhwbb5c2582-ec6c-449f-831a-9a036e369a83_391x321.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-idehe643c231-f2b0-4272-a5de-28758c35e14b_403x261.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ql8vb91c491d-8f4c-4bee-a6d2-9add1f45acae_360x268.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6xuac7f7b329-2a56-4265-8d18-c495f23905b7_874x427.jpeg'}"
