Title,Price,District,State,Bedrooms,Size,Bathrooms,Car Slots,House Type,Price per sqft
"Nuri, Taman Bukit Idaman, Selayang",148000,Selayang, Selangor,2,600,1,,Flat,246.67
"Megan Setapak, Setapak",160000,Setapak, Kuala Lumpur,3,744,1,,Flat,215.05
"Taman Bukit Desa, Taman Bukit Desa, Kepong",2650000,Kepong, Selangor,4,3000,4,2.0,Flat,883.33
"PPR Kampung Baru Air Panas, Setapak",198000,Setapak, Kuala Lumpur,3,650,2,,Flat,304.62
"Taman Alam Jaya, Taman Alam Jaya, Cheras",12000000,Cheras, Selangor,5,30000,4,5.0,Flat,400.0
"Dahlia, Seremban",92000,Seremban, Negeri Sembilan,3,650,2,,Flat,141.54
"Keramat Jaya, Setapak",320000,Setapak, Kuala Lumpur,3,805,2,1.0,Flat,397.52
"Desa Petaling Flat, Desa Petaling",108000,Desa Petaling, Kuala Lumpur,2,570,1,,Flat,189.47
"Taman Universiti Indah, Taman Universiti Indah, Seri Kembangan",570000,Seri Kembangan, Selangor,4,1620,3,,Flat,351.85
"Taman Kinrara Seksyen 4, Taman Kinrara, Bandar Kinrara",700000,Bandar Kinrara, Selangor,4,1500,3,,Flat,466.67
"MARRIOTT RESIDENCES, George Town",6880000,George Town, Penang,6,3134,6,4.0,Flat,2195.28
"MARRIOTT RESIDENCES, George Town",1500000,George Town, Penang,2,850,2,1.0,Flat,1764.71
"MARRIOTT RESIDENCES, George Town",2980000,George Town, Penang,3,1291,3,2.0,Flat,2308.29
"MARRIOTT RESIDENCES, George Town",1980000,George Town, Penang,2,957,2,2.0,Flat,2068.97
"Perumahan Awam Seri Negeri Sembilan, Sentul",189000,Sentul, Kuala Lumpur,2,600,1,,Flat,315.0
"Flat Taman Bukit Angkasa, Taman Bukit Angkasa, Kampung Kerinchi (Bangsar South)",250000,Kampung Kerinchi (Bangsar South), Kuala Lumpur,3,750,2,,Flat,333.33
"Lestari Apartment, Damansara Damai",129999,Damansara Damai, Selangor,3,650,2,1.0,Flat,200.0
"MARRIOTT RESIDENCES, George Town",3150000,George Town, Penang,3,1291,2,2.0,Flat,2439.97
"Lestari Apartment, Damansara Damai",124000,Damansara Damai, Selangor,3,650,2,,Flat,190.77
"Megan Setapak, Setapak",160000,Setapak, Kuala Lumpur,3,744,1,,Flat,215.05
"Nuri, Taman Bukit Idaman, Selayang",148000,Selayang, Selangor,2,600,1,,Flat,246.67
"Megan Setapak, Setapak",160000,Setapak, Kuala Lumpur,3,744,1,,Flat,215.05
"Taman Bukit Desa, Taman Bukit Desa, Kepong",2650000,Kepong, Selangor,4,3000,4,2.0,Flat,883.33
"PPR Kampung Baru Air Panas, Setapak",198000,Setapak, Kuala Lumpur,3,650,2,,Flat,304.62
"Taman Alam Jaya, Taman Alam Jaya, Cheras",12000000,Cheras, Selangor,5,30000,4,5.0,Flat,400.0
"Dahlia, Seremban",92000,Seremban, Negeri Sembilan,3,650,2,,Flat,141.54
"Keramat Jaya, Setapak",320000,Setapak, Kuala Lumpur,3,805,2,1.0,Flat,397.52
"Desa Petaling Flat, Desa Petaling",108000,Desa Petaling, Kuala Lumpur,2,570,1,,Flat,189.47
"Taman Universiti Indah, Taman Universiti Indah, Seri Kembangan",570000,Seri Kembangan, Selangor,4,1620,3,,Flat,351.85
"Taman Kinrara Seksyen 4, Taman Kinrara, Bandar Kinrara",700000,Bandar Kinrara, Selangor,4,1500,3,,Flat,466.67
"MARRIOTT RESIDENCES, George Town",6880000,George Town, Penang,6,3134,6,4.0,Flat,2195.28
"MARRIOTT RESIDENCES, George Town",1500000,George Town, Penang,2,850,2,1.0,Flat,1764.71
"MARRIOTT RESIDENCES, George Town",2980000,George Town, Penang,3,1291,3,2.0,Flat,2308.29
"MARRIOTT RESIDENCES, George Town",1980000,George Town, Penang,2,957,2,2.0,Flat,2068.97
"Perumahan Awam Seri Negeri Sembilan, Sentul",189000,Sentul, Kuala Lumpur,2,600,1,,Flat,315.0
"Flat Taman Bukit Angkasa, Taman Bukit Angkasa, Kampung Kerinchi (Bangsar South)",250000,Kampung Kerinchi (Bangsar South), Kuala Lumpur,3,750,2,,Flat,333.33
"Lestari Apartment, Damansara Damai",129999,Damansara Damai, Selangor,3,650,2,1.0,Flat,200.0
"MARRIOTT RESIDENCES, George Town",3150000,George Town, Penang,3,1291,2,2.0,Flat,2439.97
"Lestari Apartment, Damansara Damai",124000,Damansara Damai, Selangor,3,650,2,,Flat,190.77
"Megan Setapak, Setapak",160000,Setapak, Kuala Lumpur,3,744,1,,Flat,215.05
