Title,Price,District,State,Bedrooms,Location,Tenure,Furnished Type,Size,Facilities,Bathrooms,Car Slots,House Type,Price per sqft,Images
"Jalan Kenari, Puchong",660000,Puchong, Selangor,3.0,"Jalan Kenari, Selangor",Freehold,Unfurnished,1800.0,"['Parking', 'Playground', 'Business Centre', 'Retail Stores']",2.0,1.0,1.5-sty Terrace/Link House,366.67,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_1dca4c07c722405ea5ffe46a4a69ccf1.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_191f5c19dcba4103bc9dafaf1c70b4d2.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_681d0258a0ef4d589172e08646aaacd5.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_7ab3e66002164df6955540484da35abf.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_80e604c2223242488dfef29a3884f116.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_4bf363c39790460cb79843eaaf018b84.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_35837b503a0744e285ff4e7953ebb508.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_d580c9beda1147efa27e1cac7bd901fe.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_350fd678931c445eb01d10bf8ddc7c2e.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_19f53f27d0ea45de843c724946443ab5.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_0db0c40de611475ca87c0cd3a0be5c33.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_01fd9465310e4a43a0dce87cd737c140.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_f8e0a535328048d299e302912ee7c1a2.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_40f3c8b735a341f9a0c222606f08961d.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_9ea984c464b5412eb4e3832c27506c13.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_3a189aec335446dc9a3b513127c6dbfb.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_0ed109375e55403fae425351c9de874a.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_e8c4b989339946dbb199d13ddd97b1a9.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_adf8d3f34ff74f05a5c5d22f84d9e65f.jpg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/3789_084599756c8b418bac6cd5894cb9765e.jpg'}"
"Taman Perling, Perling",567000,Perling, Johor,4.0,"No xx jalan rawa xx Taman perling 81200 Jb, Taman Perling, 81200, Johor",Freehold,Unfurnished,1650.0,[],2.0,2.0,1.5-sty Terrace/Link House,343.64,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-7ahecf5c7444-0faf-4cdb-9f3e-35d07a364526_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-85dv1bdf1733-9397-4821-b6e7-99ae10b53944_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-eb3pdb4d94ba-663f-4a5e-9713-9022b2e8fc85_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-8c0i555aa9d7-e332-4432-a459-805cd6915616_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4o5v94d242b1-263e-4a7a-bcc5-c7a0f870d1f3_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-nqko0f29f76b-7935-4429-896a-c6c643ea4086_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-rjzu33a99485-9e58-4c79-b941-fc1013b4b12c_960x1280.jpeg'}"
"Taman Melawati, Ulu Kelang",799000,Ulu Kelang, Kuala Lumpur,4.0,"Taman Melawati, Taman Melawati, Taman Melawati, Kuala Lumpur",Freehold,Unfurnished,1980.0,[],3.0,2.0,1.5-sty Terrace/Link House,403.54,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6ov4eca9db51-dadc-40c4-bc75-1ef61b71b316_809x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-n8jr78386fd4-a314-4486-845f-bd97e847600b_1080x809.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ofkfa2c19104-c2e8-4e4b-af82-b5346d1b4178_1156x867.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ihfdcdd21693-5b99-467e-90c7-4a3c31024a6a_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-gemh4060b853-d293-4c8a-a555-2f9bed24dbc8_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-exhhd7106e75-13e9-4cad-993d-9dd04f901302_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4wrq59416b37-f90e-4f0e-a905-283e07817a73_1156x867.jpeg'}"
"Taman Setapak, Setapak",650000,Setapak, Kuala Lumpur,3.0,"Taman Setapak, Taman Setapak, 53000, Kuala Lumpur",Leasehold,Unfurnished,1400.0,[],2.0,2.0,1.5-sty Terrace/Link House,464.29,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-5paud2d44796-1c40-44df-8ae4-a8ac39444124_1156x867.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-x2dv7663de1e-1fc4-4d78-9fe3-0c59ade8e379_1156x867.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ea1s4d83e9af-b1f6-4740-aa99-93e5b0d8bb03_1156x867.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-cdm28f987673-e231-4748-b4f0-57399a0a13f2_867x1156.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-m61z91adb95d-5f45-4709-a881-064edeeaeda7_867x1156.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-1vlea36f3218-a1f5-4a6c-9cab-b2aa903bcc18_867x1156.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-83v7806ba1a2-6d2d-4b46-af49-c5066f37b293_867x1156.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tacf999a7c2e-941b-4548-9f89-a1f68725add2_867x1156.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-7utbaf548875-d8b8-4ddf-9aa1-e8cd3b8d57d7_1156x867.jpeg'}"
Subang Jaya,700000,Subang Jaya, Selangor,3.0,"USJ 12 Subang Jaya, Selangor",Freehold,Unfurnished,1560.0,"['Bbq', 'Parking', 'Jogging Track', 'Playground']",2.0,3.0,1.5-sty Terrace/Link House,448.72,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-aq3v535e6eb5-9eeb-42e4-b26c-0dfeee78ebed_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-a44e961bf1b2-c0bf-44f6-b09a-edd9c5af0f36_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4sc57a88f60c-95c8-47f3-9c52-7764279afb67_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-qd7j3c842e09-5ae2-47e0-a89f-3c6ff8b39e77_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-mmv7a34ae66c-e793-4d0c-8336-ba6b29f7bab1_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-uy8ya848c3d2-f56b-4f13-8d45-b6c67a8006b9_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-84i093235de7-ec8d-40ac-89ef-ebe1ac31d352_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-kii5bd94474a-6d6b-4b5a-bbab-50a38a319321_866x1154.png'}"
"Taman Bukit Maluri, Kepong",880000,Kepong, Kuala Lumpur,5.0,"Bandar Menjalara 62, Taman Sri Bintang, Kepong Baru, Taman Kepong, Taman Megah, Taman Petaling, Sri Segambut, Taman Bukit Maluri, 52100, Kuala Lumpur",Freehold,Unfurnished,1800.0,[],2.0,2.0,1.5-sty Terrace/Link House,488.89,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-drwm5a1c4e9b-464f-4a06-b9ae-79e25d384564_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ajy60ed08bc1-eb03-4491-a624-25d622902ac9_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hv8gbbae7f39-c294-492a-80f3-36e07f1f9154_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-75rb108a46b5-5a87-49e8-9e36-4a5fb55b0a0a_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-uy1k807ad388-8717-4b62-be95-fe1637b0cd5e_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-1aak615d0960-a020-470f-a821-6024a5b760c7_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hxlj7deb85f6-f3ae-4516-8779-be42b7d4d5aa_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-umjq24d57d44-27f7-468b-bc6c-391a353f6f04_810x1080.jpeg'}"
"Usj 3, Subang Jaya",700000,Subang Jaya, Selangor,3.0,"Usj 3, 47500, Selangor",Freehold,Unfurnished,1500.0,[],2.0,,1.5-sty Terrace/Link House,466.67,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hnsg90a50589-90dc-49b5-b117-d624fe88126f_1080x810.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-yf6mb400c9d4-99d4-47b0-a75d-27a81b5d19a4_1080x810.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-t80r6dae2464-23a2-45a9-8a5d-953067d50c51_1080x810.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-e2ni63916e47-ea29-4516-909b-1f201354e85a_1080x810.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-i68t1a4754cb-a246-4b37-b463-a1c22d500c41_1080x810.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-oog9b682a69e-bed0-4917-9d3b-7595ff15844c_1080x810.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-shgs92ead7b4-f623-41a1-9eae-212095d753fe_1080x810.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-fqoeac8a70a7-8996-44c5-9dc1-4e218e6e2087_1080x810.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-mhkqe2f91f14-721d-482f-a258-b87dd4891129_810x1080.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ocfr1fe9c03e-0e75-45d6-8e69-759bb0f40040_1080x810.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-macq4ef506e9-2e4a-45ab-a050-68b0c5895e07_1080x810.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-js2dee1000ae-6a7b-496e-bdea-b77eba4f61a0_1080x810.png'}"
"Taman Bukit Maluri, Kepong",1200000,Kepong, Kuala Lumpur,4.0,"Bandar Menjalara 62, Sri Bintang, Taman Megah, Taman Petaling, Taman Bukit Maluri, 52100, Kuala Lumpur",Freehold,Unfurnished,1800.0,[],3.0,2.0,1.5-sty Terrace/Link House,666.67,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-912gc4be8dd6-3064-4b32-8f4a-3a1a92376c1f_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-744z381fed6e-ca02-4786-b8c0-063155807c6f_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2cxkbc14bc9b-2581-4790-9927-a4f89ede767b_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-f7gw7db3d8f4-bcd3-4f27-a991-bb6d0f881af9_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-pa7vc35fbb63-0201-43b4-a0a4-103cff81d043_1920x2560.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-1j9u10228856-009b-4f0b-8346-c3b5bdb9bd9a_1920x2560.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2x2v9deca262-0332-4c35-9300-2b6846455ee0_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-1lky1a53b72d-9e72-48d8-9857-325da9e35f27_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ql7q62c2493b-3fa9-4ace-9642-3ec0a293a381_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4kt4bec9d338-be28-4ea1-a761-c1ddfb1cee84_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-wz1d028c23c1-5bed-4df8-942c-83cfc926e1d6_1920x2560.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-arh5825921da-7f17-423f-bf7a-3aa88072e82d_1920x2560.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-eh3hfdfc6032-aec8-4bd4-9878-a623ac950444_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-nut11d46aaa7-1c57-46d3-8639-4db9f5aada2e_1920x2560.jpeg'}"
Kota Damansara,880000,Kota Damansara, Selangor,4.0,"jalan samar 4, 47810, Selangor",Leasehold,Unfurnished,2000.0,"['Kitchen Cabinet', 'Air Conditioner']",4.0,,1.5-sty Terrace/Link House,440.0,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2fk551a80a55-82e6-46d7-8917-5b66c58e9e16_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2ujz3e40fb00-b026-4055-abab-1a2796cec3a2_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-76euc1453b4c-efb8-412e-9468-bd1fae947c99_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-dpjpa5d791dd-4528-4686-9c8e-bcc3bf84b2ff_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-qtxtadd2f2bb-059c-40b1-9852-ddb2b06a4e53_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-r5ic4cc1be2b-e988-480e-b19c-bc4f73934ded_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ft6t380b3014-aefb-45ea-b5b0-0cfd9ba9e199_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-w4vze67ab011-a318-4911-92a5-1098a17631c9_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-3y93135dcc3d-91bf-4090-bb37-1404a32414d8_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-s1woc35ad7a8-8fdc-4454-8426-d72ac4d8056d_1024x768.jpeg'}"
"Bandar Bukit Raja, Klang",505000,Klang, Selangor,3.0,"Bandar Bukit Raja, 41050, Selangor",Freehold,Unfurnished,1300.0,"['Air Conditioner', 'Kitchen Cabinet', 'Garage', 'Garden']",2.0,2.0,1.5-sty Terrace/Link House,388.46,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-efh0cd2370d1-dc9f-4bd9-9070-c48745b054c5_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-9pwv20ee68d2-e535-4dad-bd73-18483d948e3e_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-pi9l2af93398-1e25-4ded-8222-3a85cbb1c50e_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-lodlec037c27-2239-466d-832a-9575b7bcb636_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-xswl0312c6cb-a4a0-4abd-bf71-89ff83c39571_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-767zf8525af8-4894-4564-a8df-ea9101b15c08_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-f0fl0b794040-0b11-4f94-a835-34341668b8ad_1080x810.jpeg'}"
