Title,Price,District,State,Bedrooms,Location,Tenure,Furnished Type,Size,Facilities,Bathrooms,Car Slots,House Type,Price per sqft,Images
"Residensi Astrea, Mont Kiara",1650000,Mont Kiara, Kuala Lumpur,4.0,"Jalan Kiara 5, 50480, Kuala Lumpur",Freehold,Partly Furnished,1859,"['Kitchen Cabinet', 'Balcony', 'Bath Tub', 'Bbq', 'Parking', 'Jogging Track', 'Playground', 'Gym', 'Swimming Pool', '24-Hour Security', 'Jacuzzi', 'Sauna', 'Wading Pool', 'Badminton Court', 'Basketball Court']",3.0,2.0,Condominium,887.57,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-limm1d844295-b940-43a3-822e-e7d60f4560f9_3575x2681.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-8zyd8c489111-46b1-4f26-8ed8-6e916b4feec8_3611x2708.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-9xtgd68813e1-35d0-489d-b5b4-7f797a18720f_3761x2821.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-w3cp844000ec-9db0-44ac-912d-96004566648b_3753x2926.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-va9ya6b70600-8831-41d9-9d27-dac168d35655_3717x2801.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-iae819e6ab11-0b0e-4c49-a5de-213415d29587_3908x2931.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-m5bke86f6e76-5820-482f-8bac-8bab4b9a115e_3849x2886.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-n5gsfab1188a-714d-4a58-9c8b-f4a375f52b25_3677x2995.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-f9ea8ff858e8-9061-44b2-b0aa-f93925caa548_7870x5521.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-o5qu63051260-72f5-4947-ace4-b09af9643025_4032x3024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-bfxo433bd368-cc58-4d7e-8b19-2d8db65592f4_3016x2398.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-3bwc1d9053e8-56f6-4e8e-ac76-2280e5f792e0_3693x2770.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-q5a62b4b2b86-7940-4bad-9355-51011e17ba2f_3631x2876.jpeg'}"
"Scenaria @ North Kiara Hills, Segambut",500000,Segambut, Kuala Lumpur,2.0,"Jalan 6/38a Jalan 6/38a, Off Jalan Segambut, 51200, Kuala Lumpur",Freehold,Partly Furnished,1021,"['Kitchen Cabinet', 'Air Conditioner', 'Balcony', 'Bbq', 'Jogging Track', 'Playground', 'Gym', 'Swimming Pool', '24-Hour Security', 'Nursery', 'Wading Pool', 'Badminton Court']",2.0,1.0,Condominium,489.72,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-13cv2c876126-05eb-4d85-88ba-b867249821a8_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hkrie5f60bbb-32be-4d8e-87b2-45231c00e27d_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-8ynbf75f22d9-97e4-413e-84cf-f646085dc0e3_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ek3809872cdc-f7ef-4be2-88ea-bc7565d8067d_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-y1v5e439e87b-bc6c-4a37-81cf-de3d43eaea09_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4ktdb27839d3-8a83-4d37-916f-74be33c3de20_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-snlme70d84c7-154c-47e9-b6e8-445d3e2cc106_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-h61j039df1ae-fcc1-4750-8043-365411e78478_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-dmz3ad71712d-86cf-43cd-a755-7d614aa772e6_960x1280.jpeg'}"
"Pavilion Hilltop, Mont Kiara",1620000,Mont Kiara, Kuala Lumpur,4.0,"Lot 67209 Jalan Kiara, 50480, Kuala Lumpur",Freehold,Unfurnished,1496,"['Kitchen Cabinet', 'Air Conditioner', 'Bath Tub', 'Balcony', 'Bbq', 'Parking', 'Playground', 'Squash Court', 'Tennis Courts', 'Gym', 'Swimming Pool', '24-Hour Security', 'Wading Pool', 'Basketball Court']",4.0,2.0,Condominium,1082.89,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-diif693b2a4d-3265-4a14-8965-24ed9e272d63_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-c0wqf834e299-2701-4652-86b0-a8aecbd041be_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-46i8b2a05822-d1fe-46a8-8682-02844c3e1950_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-0n8t9652f7e1-f997-41ef-a3d4-9428f9e290b2_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ibpsebbab55d-588a-4130-871d-df1f6af5b34a_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-abya52abe55a-6898-4e6c-a92e-1748f52f566b_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-myw0c554ee33-1750-4b89-9733-de1181ab9465_1280x960.jpeg'}"
"Trinity Pentamont, Mont Kiara",1650000,Mont Kiara, Kuala Lumpur,5.0,"Jalan Kiara 5, 50480, Kuala Lumpur",Freehold,Unfurnished,2064,"['Kitchen Cabinet', 'Air Conditioner', 'Balcony', 'Bbq', 'Parking', 'Playground', 'Gym', 'Swimming Pool', '24-Hour Security', 'Jacuzzi', 'Sauna']",4.0,4.0,Condominium,799.42,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-8fp8dbe786ee-cbf5-467b-9130-2a4f967faa69_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-rjo2db8d15bd-6277-47ce-9ac7-1373eb06a014_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-mha9f26fb851-878b-490f-abac-e084105c1147_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-yg96522df3e2-8b60-48e3-a4fa-5c572a178ceb_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-gwtof0118c24-4085-4ddf-9dc6-89a655879302_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-99xi43bf952d-5dad-449c-b349-3e819faf71d8_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-3v5r33b50904-e6b7-4703-90a4-2f175b2ada2a_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-qoaa0fd2e7f1-be8a-40b3-97dd-7b5c02b9b1c0_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-jimz0728294f-0a65-428e-8c6e-3acd50ef5df5_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-fc1z322ec7e9-e014-4172-b110-e1d44cbe4162_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-bs671757df2d-4fd1-4867-9a66-8ad13e656d05_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-dxpk3ee204d3-0d5b-4c44-9b06-ce46292c1b92_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-vbpc6b930a90-a93d-46de-97b1-8beff408cef5_768x1024.jpeg'}"
"Westside Three, Desa Parkcity",1800000,Desa Parkcity, Kuala Lumpur,4.0,"Jalan Residen Utama, 52200, Kuala Lumpur",Freehold,Partly Furnished,1669,"['Kitchen Cabinet', 'Balcony', 'Air Conditioner', 'Bbq', 'Parking', 'Playground', 'Tennis Courts', 'Gym', 'Swimming Pool', '24-Hour Security']",4.0,2.0,Condominium,1078.49,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-lg8d80286a40-1ac1-4f59-9bf6-eb7c51a0a83f_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-r3s65d637e10-0543-4dee-85dd-420ec3f48241_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-qiiy61b53482-7cee-4e98-813c-9c3081495651_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-f4fn6d79bfcf-2213-43ef-a494-8463b68c3e3a_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zjdr13162b2c-429a-4ef6-86b7-88c55475ccc7_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ob2b8e8af895-aed7-46a0-93bd-66481086cf80_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-iajk2802e757-d474-457c-ada5-0de8683b235e_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-xgkxfb217e26-0f00-466c-94cc-9f2e0dbabf70_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ohijf0d2c6bd-d48b-4192-a318-638dcf9c41f8_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-33or3fc47701-f126-4359-bb10-d960c4d23865_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zgqdef90b814-99a9-4a96-9f3e-ba863de9ce04_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-0eft46a8e9ac-e19b-417f-8dac-3f0d4a660c2c_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-xma5b7f46fb3-ab66-488f-bd67-64c04701415c_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-jpse886f4e45-b4b8-4c21-b4ff-21e8addca0a1_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-mcv0a0841185-f988-4322-b823-feaeb83b3706_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-aesz1c0cf75b-075a-4f2b-9745-f83b973b81df_866x1154.jpeg'}"
"The Estate, Kampung Kerinchi (Bangsar South)",2800000,Kampung Kerinchi (Bangsar South), Kuala Lumpur,6.0,"Jalan Penaga, 59100, Kuala Lumpur",Freehold,Partly Furnished,2580,[],6.0,4.0,Condominium,1085.27,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-j0gz62d0aa93-f6d5-414a-80b0-b4bf2aabe44f_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-x1mccc98d48d-abff-4e0d-b187-4ef02ca841f7_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-karq6daa8424-6f71-44e6-a3ae-c1967f0206aa_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-y5kv9bf9ad92-6423-43c7-9a43-4f7a2be32223_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zzqv98bd7003-ba19-40c8-a7d1-baf04b466235_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-336m648fdfcf-bd4f-4d3f-bcc3-56f9285a7049_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hmlt14a4a1ab-4044-4f16-8940-f89b78859666_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-kvw298eaaf2a-099e-461d-959c-15fd213d1b86_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6svt6fdb929f-6f82-455d-b14f-520405a05281_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-o47a64b54118-6435-4db4-aef4-55bfbdf8623b_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-f5hke2d3b85c-cee1-4ab0-8297-62486bea2cdc_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ksoc95648565-fab7-4bf8-b4af-b3624c09f486_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tg1zd119a499-d7d2-4e52-8ce9-56bbe089f644_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-w3j51591e879-4412-4da5-9722-bc7aafaff5f5_2560x1920.jpeg'}"
"Bayu Sentul, Sentul",490000,Sentul, Kuala Lumpur,4.0,"Jalan Dato Senu 3, 51000, Kuala Lumpur",Leasehold,Unfurnished,1630,"['24-Hour Security', 'Swimming Pool', 'Gym']",3.0,2.0,Condominium,300.61,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-lyfn419ad5c5-58f1-43e1-8ee7-ea414e0e2ebc_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-bt5pc0870df4-fc59-4b1c-9e56-ade1e36ae5fd_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-yipy35d89bfa-c3f4-4283-8df4-597e1c10eb9c_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ky9r47be55d8-4456-483d-8f93-d1637d55f341_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-jzfv0433f920-662f-4515-97dc-fbffdae26f18_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-bcuqf6f6ce5c-e43a-4173-972d-0187febdc1bb_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ypeyd530b11c-d27f-4e2c-8eec-8fbda583ff8d_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ysu365d2f59c-d303-429d-aee1-e4e75853384d_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hnej6c656fc4-675a-41f7-99e6-4ac54bbeda76_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-lky18f0e16f7-0683-4063-94e7-648c0f4753eb_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-18zqc1ed6ac6-cd22-4833-bcf5-b7a267ce9a5f_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4k9v3b2d1055-6e2f-49d8-af35-0eae044820c6_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6sepaa49a30c-ccab-4775-b102-ecba73a98dc7_472x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-fep3a329172a-d20d-4e6a-bd7d-ff0c70087d10_768x1024.jpeg'}"
"Seni Mont Kiara, Mont Kiara",7800000,Mont Kiara, Kuala Lumpur,8.0,"Jalan Changkat Duta Kiara, 50480, Kuala Lumpur",Freehold,Partly Furnished,6997,"['Bbq', 'Parking', 'Jogging Track', 'Playground', 'Squash Court', 'Business Centre', 'Gym', 'Retail Stores', 'Swimming Pool', '24-Hour Security', 'Jacuzzi', 'Wading Pool']",8.0,5.0,Condominium,1114.76,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-k6uy64add812-444b-46ad-8fe3-01091cbdea29_1333x749.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-88pa77269b60-e401-4762-a51c-63bd093feb23_1333x749.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-128g109de762-9aef-4a0c-a8d5-df0c529d59b4_1333x749.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-nilj413f0326-f265-4028-8123-168443d4d9e4_1333x749.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-snkf0663ebab-73af-422d-a371-3ee26e108f82_1333x749.png'}"
"Lumina Residence, George Town",960000,George Town, Penang,3.0,"Lebuhraya Pykett, 10400, Penang",Freehold,Unfurnished,1206,"['Balcony', 'Bbq', 'Parking', 'Playground', 'Gym']",2.0,2.0,Condominium,796.02,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-8llp8cf4536d-73b2-4b19-8a6d-4bcad16d01de_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-nhih2716fc70-174b-4394-9a73-104531d1cbe3_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-u6pk9aa3dbb6-48e7-4a83-bc18-484c3fc1438e_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ira0805bb211-9a56-43e0-9693-3277f80a33c6_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-bcjgcda40ed2-42fc-44a3-a226-354d305245e9_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-t2he545ddc57-022a-4869-a745-16a00a4b948d_960x1280.jpeg'}"
"Seni Mont Kiara, Mont Kiara",2200000,Mont Kiara, Kuala Lumpur,5.0,"Jalan Changkat Duta Kiara, 50480, Kuala Lumpur",Freehold,Unfurnished,2906,"['Tennis Courts', 'Gym', 'Retail Stores', 'Swimming Pool', 'Jacuzzi', 'Cafe']",5.0,3.0,Condominium,757.05,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ic1572f4c0db-32b9-45cb-bcf1-7132625ee460_275x183.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-59mm11575a37-a8f0-4b8f-9642-48cf7098b340_920x519.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-uazo1e3efdf0-32bb-480e-b72a-fa3fc448251f_920x521.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-xla4b7aab237-e154-4a87-99d4-cdfeaa1b9f1d_920x690.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-eb30e0705a77-1c02-459e-a638-0c83349c81a7_567x262.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zpy95e1bd022-95c7-475f-b52e-5dc0dcad4748_920x519.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-c56h88e80ec2-f21f-4266-9624-8cbb94e05ab3_920x690.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-z1xp988ae194-a7a3-4c77-90ad-a0ba8e9b0b81_920x690.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hiz376571e96-d40c-4853-baf9-7130a125f449_801x635.jpeg'}"
