Title,Price,District,State,Bedrooms,Location,Tenure,Furnished Type,Size,Facilities,Bathrooms,Car Slots,House Type,Price per sqft,Images
"Perumahan Awam Seri Negeri Sembilan, Sentul",179000,Sentul, Kuala Lumpur,2.0,"Jalan 2/48A, 51000, Kuala Lumpur",Leasehold,Unfurnished,600.0,[],1.0,,Flat,298.33,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-1zs7be6b4aac-9319-44f4-b9be-9d21a807b345_720x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hsmm566028ad-e0a9-480a-b821-4355bd88d0a0_1280x720.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-pfza0f27329d-f78e-4854-9a14-ef66c0319c8a_1280x720.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-grp2bc2d78ed-e5fe-4407-b3f8-ca58d669a880_720x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-lrnmf23954a6-9fc2-4784-8986-021c22d81039_1280x720.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-w6m3426880ed-41c5-499f-b288-48176fd3b7a4_1280x720.jpeg'}"
"Seksyen 2 Wangsa Maju Flat, Seksyen 2 Wangsa Maju, Wangsa Maju",200000,Wangsa Maju, Kuala Lumpur,2.0,"Jalan 4/27A Seksyen 2, Seksyen 2 Wangsa Maju, 53300, Kuala Lumpur",Leasehold,Unfurnished,533.0,[],1.0,,Flat,375.23,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-qlkg185e294c-86a3-4e68-abf6-4eefc27a3e9d_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-upuj7524cc5d-e0c0-42bd-8b8d-f096480a78e9_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tath8e898274-5037-4f83-93cc-d2a401c9a050_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-nnff2068380b-568b-474f-b6f8-78276587b6c8_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-lm0017aff57a-d5fc-4b3b-9c0b-966e9de150d3_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-o5mw9ea9cdcd-6682-4fb2-8054-510fc97ef610_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zmhoea57bb6e-139e-44a1-a51f-429357de11ff_1280x960.jpeg'}"
"Nuri, Taman Bukit Idaman, Selayang",148000,Selayang, Selangor,2.0,"Jalan Bukit Idaman 1, Taman Bukit Idaman, 68100, Selangor",Leasehold,Partly Furnished,600.0,"['Kitchen Cabinet', 'Balcony', 'Air Conditioner']",1.0,,Flat,246.67,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-efy6fe3d06a1-0eb8-469b-b228-6153e2054385_1280x720.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-jvw38388ce98-77d9-4309-bb7a-f4928402d037_1280x720.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-fc6k7631118c-06ac-4d9a-85bf-5b191ba9b4bc_1280x720.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4jy63d871fe1-4aa6-4e2b-80ba-81a76506630b_1280x720.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-1qyj6909fdbe-327e-4990-9aac-842f99c7f860_1280x720.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-cvzk31e91a58-85a2-4dbd-a81a-2b67ab775ce3_1280x720.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-5mf3373bff92-3ba2-48cf-a411-f5f02185472f_1280x720.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-dqim6fb15cb5-b7cb-419e-a51d-65088272b3b8_1280x720.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-19zz22e0fed4-1d56-4d72-92bb-6d1f616f94c9_1280x720.jpeg'}"
"Megan Setapak, Setapak",160000,Setapak, Kuala Lumpur,3.0,"Jalan Megan Setapak 1, 53300, Kuala Lumpur",Leasehold,Unfurnished,744.0,['Kitchen Cabinet'],1.0,,Flat,215.05,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-km0r32e812e0-b91c-4094-b925-8b0eece355e2_4608x2592.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4ugyff5f21fa-546b-4afa-9bf6-18e64d0b181a_4608x2592.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-21qgbb23e1e7-97a5-4ee5-96ec-d3ee35648b3d_4608x2592.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-acd5ac0d10c6-6b72-4d3a-a825-371fbfb18ccc_4608x2592.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zfhnd58bcafe-82e7-47af-aa40-b18d066c71e8_4608x2592.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ewew246474ab-d588-4997-bb01-cb4a54ca0c76_4608x2592.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-82pi3917ffe4-2662-40dc-9144-043d8dd4821e_4608x2592.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-bqyu972dcb1e-985f-4fcd-9498-bf09fa2d3f9b_4608x2592.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-aupg0a1c3e8c-8b9e-456a-8d38-1fc172c2b892_4608x2592.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-xz0k60de14e8-0bee-494d-afc6-c81f37656516_4608x2592.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ocrud0f5d8f9-be5f-4c98-8cc3-4643b09efee7_4608x2592.jpeg'}"
"Taman Bukit Desa, Taman Bukit Desa, Kepong",2650000,Kepong, Selangor,4.0,"174, Jalan Bukit Desa Utama, Taman Bukit Desa, 52100, Selangor",Freehold,Fully Furnished,3000.0,"['Kitchen Cabinet', 'Air Conditioner', 'Balcony', 'Bath Tub', 'Bbq', 'Parking', 'Jogging Track', 'Playground', 'Bus Stop']",4.0,2.0,Flat,883.33,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-iiuuea1e72b0-9336-404b-93cd-e152be801801_847x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zu6p1ee95596-cb25-41df-817a-0850852fb6ba_832x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-vguo06d065b9-0215-4551-a68e-9995ed526360_1179x760.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-iz2v990bfd13-8217-45fe-91c4-07366e821ebb_1179x699.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-85rk45789110-3081-4511-b94a-63dc703199f1_812x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2gyh6deab92b-946d-429d-84ef-158a1c64a9e7_808x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-slmm0cdb12c1-b5ec-4c65-a490-2f4eac1731f0_808x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-e7q49f832014-df34-4b93-b01d-1bb4ef71f115_1179x644.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-8fiaf8eb18c6-3994-47f0-a43c-c76453d37fa6_1179x701.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6eag506f06f2-8d1e-4060-9d69-84e359170d7d_1179x668.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-y583381b626a-837a-472d-8982-7dc8b0ad3be3_813x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-n9cq29fb7e07-ca97-4f36-9e6d-593897d99e77_1179x606.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-mfl3dff08343-75d9-43e5-9069-23220170e386_1179x676.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-eriw5b254605-c073-4b37-a000-eb482232fc5d_1179x689.jpeg'}"
"PPR Kampung Baru Air Panas, Setapak",198000,Setapak, Kuala Lumpur,3.0,"Jalan Usahawan 6, 53200, Kuala Lumpur",Leasehold,Partly Furnished,650.0,[],2.0,,Flat,304.62,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-p4r1e9ddc126-a71e-42be-a7a3-64fb7a61725e_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-7ixb1c688958-c03c-4453-8143-1c9c99e0cd9c_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-3bdk32ea14aa-9aad-4854-a50e-abd8befcd93e_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4bood23ec188-bbd1-4571-bffb-6b9db23e753e_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-34lk3855dc5b-3d42-4535-b8b9-6445185402e0_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hbrn43ad95c9-c568-4198-b56a-95260d4a1341_892x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-pjtr784987b7-1e56-4376-a9ec-ea98ab5a55b4_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-jm77d61c90ab-45f8-4002-8454-6cc1ef5be4dc_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-q2al792f81f3-5ec0-40e5-a184-a29343f25746_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-cbmyb57d7a57-3d99-470b-843c-f1a59483e11f_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-9zoqa40c652c-9653-4056-bd71-1ac16d27f03d_1080x810.jpeg'}"
"Taman Alam Jaya, Taman Alam Jaya, Cheras",12000000,Cheras, Selangor,5.0,"Taman Alam Jaya, Taman Alam Jaya, 43200, Selangor",Leasehold,Unfurnished,30000.0,[],4.0,5.0,Flat,400.0,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ea5669590154-eadc-4297-9009-8ee49b6a98e0_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ltzd391adb8e-60aa-44fc-a255-a1408b664aba_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-b0bq36d33540-9569-40d3-9324-4973b104a6a4_1000x1000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-yt4rb2959ffc-763c-437c-bdab-98cda3185a41_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-kf8w7bb239cc-4489-4818-8af3-7182579f4d0c_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-12albeaee105-4679-4c29-b59e-9b86fb728a87_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-s05xae0629be-e4d1-43d8-b297-cd842e3c71e2_1333x750.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6dif52c65347-92e6-4ed1-b038-f9a6eec91647_1000x1000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-xxj2b9e6542d-35d7-4a63-bb7b-5c6b570d777a_1000x1000.jpeg'}"
"Dahlia, Seremban",92000,Seremban, Negeri Sembilan,3.0,"Jalan S2 G5 Jalan S2 G5, 70300, Negeri Sembilan",Freehold,Unfurnished,650.0,[],2.0,,Flat,141.54,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-lnmgebda338c-03c5-4cfe-becd-822510451700_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tsce18ba073a-f232-4a06-823c-4b3a09d9e908_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-lr7d97fec0bb-af52-4903-9435-636eedb016dc_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-9wxbe0033659-c2c1-45c5-81e3-d8f53cd6551c_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zl87c809087b-6504-4b1f-81ec-f0ac8797710c_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-f12p232aede3-258f-445e-9580-6c2444bbf7c2_768x1024.jpeg'}"
"Keramat Jaya, Setapak",320000,Setapak, Kuala Lumpur,3.0,"Persiaran Gurney, 54000, Kuala Lumpur",Leasehold,Unfurnished,805.0,"['Playground', 'Parking', 'Retail Stores']",2.0,1.0,Flat,397.52,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2wwuac7b8e3e-5e4c-4d3a-8d15-f1ed3b2801af_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-qah91b5e9cf3-f1fe-476d-8c99-b74890bb08f7_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-vu9zfd61a73d-3c52-4aad-91cb-c83719d529ff_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-wk9h5660a277-b0fd-47d2-a5b1-e812f02098ae_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-i6aga1463e6a-3adc-44b3-9c98-642ba10a628f_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-m6v9bc2a29b5-36e9-415f-b834-e9d502c18a42_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ewa76616df5f-812a-4e52-89b8-b8c7fdeb3882_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-c2jgd919bb7d-70fc-4c5f-a6a1-f9f99b5a39ac_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-gpvv5b44c57f-ac6d-440a-8284-ec71128e7724_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-pe2tfdaadaf2-49f7-4fc0-88db-9ed254dd478e_1080x810.jpeg'}"
"Desa Petaling Flat, Desa Petaling",108000,Desa Petaling, Kuala Lumpur,2.0,"Jln 7/125, 57100, Kuala Lumpur",Leasehold,Unfurnished,570.0,[],1.0,,Flat,189.47,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-l61t5a38c459-063e-441b-80e7-17ea00d852b8_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-v1eg8b147b4b-ddff-455e-9589-3896d79a4d2c_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-yp33616c9395-a256-4bfe-92a3-3d143a1fc603_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-iglsdd1c9122-a81e-44a0-8908-081d1d11bc44_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-39ebe2ce3719-4fc0-488a-9e53-3758b58b249e_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-jd0w5d09b240-92e6-4bbc-8aaf-74b7dd30c50a_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-lebbd3295467-74bf-4439-a8cc-28856e45ede7_866x1154.jpeg'}"
