Title,Price,District,State,Bedrooms,Location,Tenure,Furnished Type,Size,Facilities,Bathrooms,Car Slots,House Type,Price per sqft,Images
"Bukit Bandaraya, Bangsar",1300000,Bangsar, Kuala Lumpur,3.0,"Jalan Medang Serai, Bukit Bandaraya, 59100, Kuala Lumpur",Freehold,Unfurnished,1600.0,"['Kitchen Cabinet', 'Balcony', 'Bath Tub', 'Air Conditioner', 'Garden', 'Parking']",2.0,2.0,Townhouse,812.5,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-c1fj4ef54540-f69c-4b86-8707-9aac48aa14c0_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2k1u50bef1bb-ad35-4202-a6fa-1a0fa4d1111f_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-syxcc19c2639-3497-4142-8700-38871a36db95_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zrela54893e4-24f3-459b-bf0b-a494ba12886b_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-epcj56d511d0-e66d-43dc-b29a-db00f5bedbdb_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tuk0895df84d-6ff1-4093-bfc9-69845037b23f_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-na93d42f22bf-2e79-4bcf-9e9f-09cf193d237d_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zjd3687ab09a-77c5-44ee-9398-30fe1bdd57a9_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-q5pvba9ba2de-3a28-4bec-b850-18bccc4f10dc_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-kjsze73ad866-91a2-40aa-aa71-4114575ac64d_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-64bl2e322c60-8df5-4a76-9e4a-55459f01b034_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-vcvm4773b7b7-f563-4c16-bde6-8f0fdd29d802_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-xnz2554cde94-4c60-44ad-88f8-c6d8f8b620f7_1080x810.jpeg'}"
Bayan Baru,1098000,Bayan Baru, Penang,5.0,"Krystal court, Gerbang bukit kecil 2, 11900, Penang",Freehold,Partly Furnished,1728.0,"['Air Conditioner', 'Parking', '24-Hour Security']",3.0,2.0,Townhouse,635.42,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-u1ji8122d181-a66f-4f7d-a285-ab7bcb6fa358_540x960.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-u3id3f520b86-8963-419b-84c9-a0aa2cbae40b_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-srnj780cf3e4-0161-483d-9811-aa4dee6a3e7a_540x960.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-kyog37636ca4-cda0-4489-be9d-2ba3efb0d548_540x960.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-sgpgc64965f6-9c1e-490e-8ee0-a01b51b1e4d5_540x960.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-l88q2fd3c1cf-001a-4463-9532-3842d0c19035_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-iczd13247ee8-7089-4819-bdc5-14ce12070604_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-1b047ebb4def-0b30-4659-b0b9-e55f4560872f_540x960.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-czxi4768ffa0-1094-4cbd-83d1-a43a1e2614e4_540x960.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-jv9vef89473f-ccfb-467d-813f-39fa790818d7_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-gegid7ad8f85-d7db-4d5d-96cf-1e3720a16835_540x960.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-j0cs586bcb7b-0a80-491f-9cbc-5ffe1503c9fa_540x960.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zd5b40369368-bee0-4caa-91c0-feb8e38f4132_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-rb5pf74cf095-5f6d-4a9c-8368-d233ad251133_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-c9zv6d7b5f5c-9558-401a-a5bb-dab59a6d2236_540x960.png'}"
"Bandar Seri Botani, Simpang Pulai",170000,Simpang Pulai, Perak,3.0,"Bandar Seri Botani, 31350, Perak",Freehold,Unfurnished,900.0,"['Bbq', 'Parking', 'Jogging Track', 'Playground', 'Squash Court', 'Tennis Courts', 'Business Centre', 'Gym', 'Retail Stores', 'Salon', 'Swimming Pool', '24-Hour Security', 'Clubhouse', 'Jacuzzi', 'Nursery', 'Sauna', 'Wading Pool', 'Cafe', 'Badminton Court', 'Bus Stop', 'Basketball Court']",2.0,1.0,Townhouse,188.89,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-m18na4db012b-503d-495e-9668-b3d8368aa83d_977x788.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-abf18ea73a97-3ec1-49f6-8dec-1e1d7a28fcf5_630x403.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-v9wc673eb74a-31be-47b3-ab38-7025344dfdf1_958x779.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-693c40d9688c-9e53-44ca-a2fa-00528b0ab363_581x310.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-m2a74d7e976e-0c52-4f27-84b1-70c080ed20bc_880x549.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-kncrc81a67e3-59ad-47b7-b51c-9568fa9b20b4_969x774.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4asa181f4246-01a2-4ebc-8d55-dbd5234b043d_984x777.jpeg'}"
"Taman Templer Saujana, Rawang",880000,Rawang, Selangor,6.0,"Taman Templer Saujana, 48000, Selangor",Leasehold,Unfurnished,2160.0,[],4.0,,Townhouse,407.41,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-8abz99abec36-af5a-4c59-b049-a5abc340b04f_1080x708.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-c2ff0b1aeb70-5d3e-4bcd-9f8b-2d219b0980fb_1080x729.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-epih5b7d5619-c9b3-4962-8439-6499f4e294b8_1080x1080.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4ma9eea07799-1867-4a3b-9a92-40bd09da8a71_1080x694.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-h2r418068078-9bec-4957-be83-9a0ae86bd220_1080x705.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2ix2fb2fc9d5-6012-425e-8579-a1532b231472_1080x948.jpeg'}"
Bandar Sri Damansara,480000,Bandar Sri Damansara, Selangor,2.0,"The Flo, Jalan Persiaran Perdana, 52200, Selangor",Freehold,Unfurnished,720.0,"['Balcony', 'Garden', 'Garage', 'Bath Tub', 'Air Conditioner', 'Kitchen Cabinet', 'Bbq', 'Parking', 'Jogging Track', 'Playground', 'Squash Court', 'Tennis Courts', 'Business Centre', 'Gym', 'Retail Stores', 'Salon', 'Swimming Pool', '24-Hour Security', 'Clubhouse', 'Jacuzzi', 'Nursery', 'Sauna', 'Wading Pool', 'Cafe', 'Badminton Court', 'Bus Stop', 'Basketball Court']",1.0,1.0,Townhouse,666.67,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zuvf5843d247-ce7c-44df-8554-e10e0b5157a0_3024x4032.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-vdsgc5648363-ba5a-4409-b645-79f29ddbb4c4_1200x675.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ptx86386998e-60a1-4af6-8145-d6214067b742_1680x1120.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-bjt1d1137beb-cc7b-4856-a46f-6a6b0f92727a_1680x1120.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ebii4788dc21-07ce-43e8-9ab3-385fdedd62ed_648x473.png'}"
Bangsar,1195000,Bangsar, Kuala Lumpur,4.0,"Jalan Medang Serai, 59100, Kuala Lumpur",Freehold,Unfurnished,1560.0,"['Kitchen Cabinet', 'Balcony', 'Garden']",2.0,2.0,Townhouse,766.03,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-7jxn50ec4702-1d78-428a-bbcc-ea0ca00156ac_1920x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-jip37db01dae-ffac-4ace-ac93-b6ab1b9afd23_1920x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-bb0h2f468666-7e44-41ab-abce-b8080649b450_1920x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-1kgv872a3e6f-6bf8-4300-bf1e-5078437b063d_1920x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-s4bac7660bb6-d019-4454-89e8-ec506c8b1b89_865x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-mj153e1632ea-fcf9-4a16-a9bc-cc8017ca5077_1920x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-y0cvb0cbb3f6-0820-442d-82b1-3878bc472c3d_1920x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-qez6654252e0-41ab-46a7-9a07-cee3281f9446_1920x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-oqw88f737335-c647-40aa-997c-ab6a9e91cfff_1920x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-npui88e0e4fd-6e33-4184-9e7a-0bf9eadfa14d_1920x865.jpeg'}"
"Bandar Sunsuria, Sepang",600000,Sepang, Selangor,3.0,"Jalan Sunsuria 3C/1, Bandar Sunsuria, 43900, Selangor",Freehold,Unfurnished,1744.0,"['Balcony', 'Kitchen Cabinet', 'Parking', 'Jogging Track', 'Playground', 'Clubhouse']",3.0,2.0,Townhouse,344.04,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-dnee36b683b2-e4b8-4b3b-9b84-1a72fca70e91_1449x805.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tnqw6143cfe5-24a8-4a3c-b2fb-155c86ae3cee_1449x901.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-yb7a405a7668-8a87-43b8-ad46-21d916a62401_1449x622.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-0o1b3a34c017-ae5c-4aa5-9949-0c99fea07c60_1460x622.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-74fsbef6925e-1612-4d1a-b9ea-b62ced1d7e44_1474x983.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-65eh0e6fcccd-aeeb-47a9-925e-7ac760635c0d_1449x943.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-70xv60d4b2ea-e546-4c68-aa67-c87e01567420_1449x881.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-9d3871c3e9c8-0fb9-46ee-b054-14b1bc95e91f_1443x691.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-3kn659d2486f-ddd5-4f1f-ab0a-c7d85fedd4f0_1474x1071.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-oml0df097213-45dd-4eea-9a17-bfe2adabcda5_1474x1091.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-vsml29fade2f-4610-4840-8376-ed5941203840_1449x976.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-s8ww5c9f5097-23f0-4c07-bded-45394838087f_1449x622.png'}"
"Taman Lagenda Mas, Cheras",395000,Cheras, Selangor,3.0,"Taman Lagenda Mas, Taman Lagenda Mas, 43200, Selangor",Freehold,Unfurnished,1200.0,"['Bbq', 'Parking']",2.0,,Townhouse,329.17,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6amm4231c466-f94f-4021-b27b-5e43f6f4f81d_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-3uf6760d32c3-806a-47c2-8b37-474eaece63a3_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-pw6tdaa1da6d-52fe-482c-bd48-34e486daf029_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-5c1w5e5a3ea4-6dc0-4460-a582-1b0466b04ae7_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6vid48f69867-ed5d-474f-91e6-ae64f22300b1_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-9m8ya113d221-fa07-4d20-aa4b-919844f8f953_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-bixfdbbe4bde-e1c0-4d87-aff9-cabd0a093878_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-t8gi0526565e-6a98-4e8c-b355-fdfe4d5b3403_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6b0439f0d1d9-7d19-46fa-afec-ff241d93fc16_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-rak7e6898aae-3b27-4224-bfa5-abaca56827d2_1280x960.jpeg'}"
"Sunway Damansara, Petaling Jaya",850000,Petaling Jaya, Selangor,3.0,"Parkville, pju3, PJU3, Sunway Damansara, Sunway Damansara, 47810, Selangor",Leasehold,Unfurnished,1937.0,"['Kitchen Cabinet', 'Air Conditioner', 'Balcony', 'Bbq', 'Parking', 'Jogging Track', 'Playground', '24-Hour Security', 'Basketball Court']",3.0,2.0,Townhouse,438.82,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-a6cr4985af77-3525-441f-b16a-ea506754a18f_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zun70db15f65-adb6-4128-bf7b-21b9b03a355d_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-50l5c45f93d0-47dc-4f72-a1b3-b7e85fc963e9_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-pxki27662176-e874-4b88-9c20-1d9f2f3bf24b_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-0kh28803e821-a88a-4b10-a574-573051d257a5_768x1024.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-8qr77125e2e5-5f86-4206-99e4-5de46e3e1ff2_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-31zdf0146673-1b86-468c-94bb-494a1bc28b29_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-1zpw081e1f8b-4165-4841-86e3-c2fd540d127c_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-kniadd4e2626-ef0c-4b30-8645-5dce9f79330d_1024x768.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-5ygb9c50c274-3283-4881-b37a-9fda34db79c0_1024x768.jpeg'}"
"Jalan Kuala kangsar, Ipoh",280000,Ipoh, Perak,3.0,"Jalan Kuala kangsar, 30010, Perak",Freehold,Unfurnished,1800.0,[],2.0,,Townhouse,155.56,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-t0m7ff148785-c08a-4c69-ad89-0b5fba23dffc_1154x864.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ufdo2ab63886-b5d8-430c-868e-e2a11869ec37_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ezj56380d669-0987-48d8-9eee-e8488d9f7f6e_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-dvp6ba2ff0b0-4d0d-4215-8b74-cb6e24f5eb87_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-uabh4fa63206-7e41-4839-ab31-99c61b79b2c3_679x1471.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-sppt9dbb14d7-14d8-4d8e-8ecb-dd64a7550841_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2yvc1443a911-76b5-43e8-927d-bd0050a91aba_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-7klx4d735a1e-b218-433b-9f36-d907e02e68b4_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-46wz09b08c03-167a-4bb0-b24a-74047674c789_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-8gcwe17a32d2-d601-4190-98b6-839261d61866_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-9upsfe4256ac-ae99-40bd-a36f-3c8ab5f1dee5_866x1154.png'}"
